ID,Sensor 1,Result,Target
1,740,Present,1
2,887,Absent,0
3,552,Absent,0
4,551,Absent,0
5,546,Absent,0
6,543,Absent,0
7,501,Absent,0
8,537,Absent,0
9,533,Absent,0
10,556,Absent,0
11,543,Absent,0
12,526,Absent,0
13,534,Absent,0
14,548,Absent,0
15,795,Present,1
16,781,Present,1
17,791,Present,1
18,764,Present,1
19,517,Absent,0
20,522,Absent,0
21,520,Absent,0
22,517,Absent,0
23,517,Absent,0
24,517,Absent,0
25,517,Absent,0
26,517,Absent,0
27,517,Absent,0
28,501,Absent,0
29,501,Absent,0
30,502,Absent,0
31,513,Absent,0
32,504,Absent,0
33,508,Absent,0
34,518,Absent,0
35,505,Absent,0
36,502,Absent,0
37,521,Absent,0
38,508,Absent,0
39,501,Absent,0
40,502,Absent,0
41,520,Absent,0
42,532,Absent,0
43,545,Absent,0
44,508,Absent,0
45,578,Absent,0
46,597,Absent,0
47,572,Absent,0
48,504,Absent,0
49,559,Absent,0
50,565,Absent,0
51,522,Absent,0
52,547,Absent,0
53,741,Present,1
54,778,Present,1
55,799,Present,1
56,797,Present,1
57,762,Present,1
58,759,Present,1
59,793,Present,1
60,800,Present,1
61,787,Present,1
62,800,Present,1
63,782,Present,1
64,537,Absent,0
65,513,Absent,0
66,549,Absent,0
67,554,Absent,0
68,517,Absent,0
69,560,Absent,0
70,534,Absent,0
71,516,Absent,0
72,549,Absent,0
73,554,Absent,0
74,517,Absent,0
75,560,Absent,0
76,517,Absent,0
77,506,Absent,0
78,511,Absent,0
79,506,Absent,0
80,504,Absent,0
81,511,Absent,0
82,506,Absent,0
83,504,Absent,0
84,534,Absent,0
85,516,Absent,0
86,526,Absent,0
87,523,Absent,0
88,514,Absent,0
89,532,Absent,0
90,532,Absent,0
91,501,Absent,0
92,539,Absent,0
93,529,Absent,0
94,536,Absent,0
95,526,Absent,0
96,513,Absent,0
97,525,Absent,0
98,772,Present,1
99,772,Present,1
100,912,Absent,0
101,998,Absent,0
102,987,Absent,0
103,982,Absent,0
104,767,Present,1
105,767,Present,1
106,998,Absent,0
107,987,Absent,0
108,982,Absent,0
109,767,Present,1
110,518,Absent,0
111,524,Absent,0
112,550,Absent,0
113,527,Absent,0
114,521,Absent,0
115,519,Absent,0
116,522,Absent,0
117,511,Absent,0
118,545,Absent,0
119,513,Absent,0
120,510,Absent,0
121,519,Absent,0
122,517,Absent,0
123,545,Absent,0
124,785,Present,1
125,767,Present,1
126,763,Present,1
127,777,Present,1
128,777,Present,1
129,736,Present,1
130,775,Present,1
131,780,Present,1
132,775,Present,1
133,797,Present,1
134,793,Present,1
135,755,Present,1
136,773,Present,1
137,791,Present,1
138,800,Present,1
139,784,Present,1
140,769,Present,1
141,559,Absent,0
142,539,Absent,0
143,547,Absent,0
144,544,Absent,0
145,514,Absent,0
146,522,Absent,0
147,533,Absent,0
148,539,Absent,0
149,579,Absent,0
150,526,Absent,0
151,796,Present,1
152,788,Present,1
153,742,Present,1
154,742,Present,1
155,732,Present,1
156,714,Present,1
157,713,Present,1
158,773,Present,1
159,748,Present,1
160,770,Present,1
161,731,Present,1
162,741,Present,1
163,776,Present,1
164,771,Present,1
165,506,Absent,0
166,504,Absent,0
167,511,Absent,0
168,545,Absent,0
169,510,Absent,0
170,508,Absent,0
171,506,Absent,0
172,531,Absent,0
173,520,Absent,0
174,528,Absent,0
175,506,Absent,0
176,508,Absent,0
177,526,Absent,0
178,518,Absent,0
179,507,Absent,0
180,501,Absent,0
181,516,Absent,0
182,502,Absent,0
183,700,Present,1
184,714,Present,1
185,506,Absent,0
186,524,Absent,0
187,519,Absent,0
188,508,Absent,0
189,507,Absent,0
190,512,Absent,0
191,513,Absent,0
192,519,Absent,0
193,536,Absent,0
194,518,Absent,0
195,521,Absent,0
196,765,Present,1
197,739,Present,1
198,758,Present,1
199,513,Absent,0
200,543,Absent,0
201,536,Absent,0
202,504,Absent,0
203,776,Present,1
204,778,Present,1
205,786,Present,1
206,789,Present,1
207,773,Present,1
208,771,Present,1
209,792,Present,1
210,746,Present,1
211,748,Present,1
212,752,Present,1
213,975,Absent,0
214,976,Absent,0
215,975,Absent,0
216,894,Absent,0
217,742,Present,1
218,778,Present,1
219,760,Present,1
220,748,Present,1
221,753,Present,1
222,733,Present,1
223,710,Present,1
224,502,Absent,0
225,705,Present,1
226,716,Present,1
227,716,Present,1
228,743,Present,1
229,726,Present,1
230,734,Present,1
231,728,Present,1
232,712,Present,1
233,556,Absent,0
234,512,Absent,0
235,764,Present,1
236,507,Absent,0
237,513,Absent,0
238,509,Absent,0
239,503,Absent,0
240,503,Absent,0
241,502,Absent,0
242,513,Absent,0
243,715,Present,1
244,738,Present,1
245,749,Present,1
246,744,Present,1
247,738,Present,1
248,747,Present,1
249,502,Absent,0
250,510,Absent,0
251,504,Absent,0
252,510,Absent,0
253,702,Present,1
254,710,Present,1
255,745,Present,1
256,713,Present,1
257,518,Absent,0
258,528,Absent,0
259,521,Absent,0
260,508,Absent,0
261,539,Absent,0
262,541,Absent,0
263,558,Absent,0
264,506,Absent,0
265,545,Absent,0
